sim_type,sim_name,As,bary_Mc,bary_nu,H0,O_cdm,O_nu,Ob,Om,ns,s8,w0
grid,cosmo_000550,4.836191277033417e-10,1703904745652.3057,-1.48828125,78.818359375,0.320044975438,0.001039008937000034,0.048837890625,0.369921875,0.9584765625,0.5416015625,-1.243012695313
grid,cosmo_000551,2.1599288977585285e-08,53882199122311.7,0.51171875,69.818359375,0.134759842086,0.001324142288999998,0.033837890625,0.169921875,1.0584765625,1.0416015625,-0.409512695312
grid,cosmo_000552,8.35700534843933e-09,466600621041049.6,-1.23828125,64.193359375,0.146392616601,0.0015663677739999882,0.046962890625,0.194921875,1.0209765625,0.7291015625,-0.513700195312
grid,cosmo_000554,4.030888339008417e-10,2623888115708.637,-0.23828125,68.693359375,0.454091115261,0.0013678691140000254,0.039462890625,0.494921875,0.8709765625,0.4791015625,-0.930450195312
grid,cosmo_000559,2.1960597516665065e-08,34990110378961.08,-0.73828125,79.943359375,0.100699012627,0.0010099717480000076,0.043212890625,0.144921875,0.9459765625,1.3541015625,-0.722075195312
grid,cosmo_000560,5.9380146736003435e-09,28196507097797.727,-1.61328125,79.380859375,0.0984971482838,0.0010243360911999927,0.032900390625,0.132421875,0.8897265625,0.8853515625,-1.086731445313
grid,cosmo_000562,7.772775656565367e-10,158560611671146.56,-0.61328125,74.880859375,0.375870333131,0.0011511512440000246,0.055400390625,0.432421875,1.0397265625,0.6353515625,-0.669981445312
grid,cosmo_000564,5.27093244898304e-10,11890368452040.502,0.88671875,81.630859375,0.229802837848,0.000968646526999975,0.051650390625,0.282421875,1.0647265625,0.5103515625,-1.295106445312
grid,cosmo_000567,1.795395554411235e-08,2114439739604.0005,-0.11328125,68.130859375,0.12188093535,0.0013905490250000138,0.059150390625,0.182421875,1.0147265625,1.2603515625,-0.878356445312
grid,cosmo_000575,2.775875445901091e-08,1373078327973.6252,0.13671875,73.755859375,0.0564599481503,0.0011865362247000036,0.049775390625,0.107421875,0.9022265625,0.9478515625,-0.982543945312
grid,cosmo_000578,2.0349663195162447e-09,1614387597696.6592,0.48046875,75.865234375,0.35144688749,0.0011214718849999541,0.057978515625,0.410546875,0.8850390625,0.7994140625,-0.448583007812
